id,nombre ,equipo_id,goles,salario,posicion,nacionalidad,edad,imagen
,Gerard Martin,2,0,0.2,Centrocampista,España,20,
,Jules Kounde,2,0,5.4,Defensa,Francia,25,
,Eric Garcia,2,0,6,Defensa,España,24,
,Gavi,2,0,9.3,Centrocampista,España,20,
,Pedri,2,0,12.5,Centrocampista,España,22,
,Fermin Lopez,2,0,4,Centrocampista,España,20,
,Marc Casado,2,0,0.4,Centrocampista,España,19,
,Dani Olmo,2,0,9.3,Centrocampista,España,25,
,Frenkie De Jong,2,0,19,Centrocampista,Holanda,26,
,Marc Bernal,2,0,0.26,Defensa,España,18,
,Ferran Torres,2,0,10,Delantero,España,23,
,Robert Lewandowski,2,0,33.3,Delantero,Polonia,36,
,Lamine Yamal,2,0,15,Delantero,España,16,
,Raphina,2,0,12.5,Delantero,Brasil,27,
,Marcus Rashford,2,0,15.6,Delantero,Inglaterra ,26,
,Gerard Moreno,3,0,4,Delantero central,España,33,
,Dani Parejo,3,0,3,Mediocentro,España,36,
,Nicolás Pépé,3,0,3,Extremo derecho,Costa de Marfil,30,
,Pau Navarro,3,0,1,Defensa central,España,20,
,Alfonso Pedraza,3,0,2,Lateral izquierdo,España,29,
,Ayoze Pérez,3,0,2,Extremo / segundo,España,31,
,Juan Foyth,3,0,2,Lateral derecho,Argentina,27,
,Pape Gueye,3,0,2,Mediocentro defensivo,Senegal,26,
,Logan Costa,3,0,2,Defensa central,Cabo Verde,24,
,Luiz Júnior,3,0,1,Portero,Brazil,23,
,Trevor Buchanan,3,0,2,Lateral derecho,Canada,26,
,Byran Zaragoza,12,0,4,delantero,España,24,
,Iago Aspas,12,0,3,delantero,España,38,
,Borja Iglesias,12,0,2,delantero,España,32,
,Ferran Jutglà,12,0,2,delantero,España,26,
,Ilaix Moriba,12,0,2,mediocampista,Guinea,22,
,Carl Starfelt,12,0,2,defensa,Suecia,30,
,Franco Cervi,12,0,1,mediocampista,Argentina,31,
,Fran Beltrán,12,0,1,mediocampista,España,26,
,Williot Swedberg,12,0,1,mediocampista,Suecia,21,
,Hugo Sotelo,12,0,1,mediocampista,España,21,
,Óscar Mingueza,12,0,1,defensa,España,26,
,Joseph Aidoo,12,0,1,defensa,Ghana,29,
,Marcos Alonso,12,0,1,defensa,España,34,
,Mihailo Ristic,12,0,1,defensa,Serbia,29,
,Sergio Carreira,12,0,1,defensa,España,24,
,Carlos Domínguez,12,0,1,defensa,España,24,
,Javi Rodríguez,12,0,1,defensa,España,22,
,Iván Villar,12,0,1,portero,España,28,
,Andrei Radu,12,0,1,portero,Rumania,28,
,Pablo Durán,12,0,1,delantero,España,24,
,JUAN AGUSTíN MUSSO,4,0,4,Portero,Argentina,31,
,JAN OBLAK,4,0,13,Portero,Eslovenia,32,
,JOSé MARíA GIMéNEZ DE VARGAS,4,0,5,Defensa,Uruguay,30,
,MATTEO RUGGERI,4,0,2,Defensa,Italia,23,
,CLéMENT NICOLAS LAURENT LENGLET,4,0,4,Defensa,Francia,30,
,NAHUEL MOLINA LUCERO,4,0,1,Defensa,Argentina,27,
,DáVID HANCKO,4,0,2,Defensa,Eslovaquia,27,
,MARC PUBILL PAGéS,4,0,0.35,Defensa,España,22,
,CONOR GALLAGHER,4,0,0.5,centrocampista,Inglaterra ,25,
,JOãO LUCAS de souz,4,0,0.85,centrocampista,Italia,24,
,Thiago Ezequiel Almada,4,0,2,delantero ,Argentina ,24,
,Juan carlos,20,0,0.4,portero,España,37,
,victor reis,20,0,0.1,defensa,Brazil,19,
,alejandro Frances,20,0,3,defensa,España,23,
,Paulo Gazzaniga,20,0,1.2,portero,Argentina,33,
,Iván Martín,20,0,1.7,centrocampista,España,26,
,Jhon Solís,20,0,0.2,centrocampista,Colombia,20,
,David López,20,0,3.8,defensa,España,36,
,Daley Blind,20,0,1.8,defensa,Países Bajos,35,
,Arnau Martínez        ,20,0,1.2,defensa,España,22,
,Cristhian Stuani,20,0,1.1,delantero,Uruguay,38,
,Viktor Tsygankov,20,0,1.4,delantero,Ucrania,27,
,cristian Portu,20,0,1.8,delantero,España,33,
,Joel Roca        ,20,0,0.3,delantero ,España,20,
,Eric García,20,0,0.3,defensa,España,24,
,Miguel Gutiérrez,20,0,0.3,defensa,España,24,
,Yan Couto,20,0,0.2,defensa,Brazil,23,
,Aleix García,20,0,0.1,centrocampista,España,28,
,Yangel Herrera,20,0,0.2,centrocampista,Venezuela,27,
,Borja García,20,0,0.4,centrocampista,España,34,
,Ibrahima Kébé,20,0,0.3,centrocampista,Mali,25,
,Javier Guerra,18,0,0.4,Centrocampista,España,22,
,Jose Luis Garcia,18,0,1.3,Centrocampista,España,27,
,Julen Agirrezabala,18,0,0.4,Guardameta,España,24,
,Arnaut Danjuma,18,0,3.5,Delantero,Nigeria,28,
,Dani Raba,18,0,0.4,Delantero,España,29,
,Jose Manuel Arias,18,0,0.2,Defensa,España,25,
,Hugo Duro,18,0,2.8,Delantero,España,25,
,Filip Ugrinic,18,0,,Centrocampista,Suiza,26,
,Andre Almeida,18,0,0.6,centrocampista,Portugal,25,
,Jose Luis Gaya,18,0,5.8,Defensa,España,30,
,Baptiste Santamaria,18,0,2,centrocampista,Francia,30,
,Vedat muriqi,17,0,,Delantero,Kosovo,31,
,Leo Román,17,0,,Portero,España,25,
,Pablo Torre,17,0,,Centrocampista,España,22,
,Dani Rodriguéz,17,0,,Centrocampista,España,37,
,Pablo Maffeo,17,0,,Defensa,Argentina,28,
,Takuma Asano,17,0,,Delantero,Japón,30,
,Johan Mojica,17,0,,Defensa,Colombia,33,
,Samuel Costa,17,0,,Centrocampista,Portugal,24,
,Antonio Raíllo,17,0,,Defensa,España,33,
,Martin Valjent,17,0,,Defensa,Eslovaquia,29,
,Mateo Joseph,17,0,,Delantero,España,21,
